Id1,Number of Records,angelco_account,business_model,city,continent,country,crunchbase_account,facebook_account,financing_stage,founding_date,id,industries,keywords,last_funding_date,linkedin_account,location,long_description,name,num_employees,region,score,short_descriptiion,stage,total_funding,twitter_account,website
261891,1,,,,,--,,,,,1572578,,Startups,,,,,Ben Robinson,0,,651,,,0,,ben-robinson.org
353906,1,,,,,--,,,,,1693408,,Startups,,,,,"Ben Smith, Cellist",0,,151,,,0,,carolinacello.com
289896,1,,,,,--,,,,,1606138,,Startups,,,,,Benchmark Business & Commercial Sales,0,,151,,,0,,benchmarkbusiness.net
279841,1,,,,,--,,,,,1594136,,Startups,,,,,BenchMark Public Adjusting Group,0,,651,,,0,,mylossconsultant.com
335455,1,,,,,--,,,,,1660860,,Startups,,,,,BENCHWORK,0,,651,,,0,,benchwork.co.uk
27857,1,,,,,--,,,,,583289,,Startups,,,,,Benditocupon,0,,601,,,0,,
295132,1,,,,,--,,,,,1612403,,Startups,,,,,"Benedetto Fiori, Design e Comunicazione",0,,651,,,0,,benedettofiori.net
468890,1,,,,,--,,,,,1816459,,Startups,,,,,BenefÃ­cios Sul Assessoria e Corretagem de Seguros,0,,651,,,0,,beneficio.com.br
451980,1,,,,,--,,,,,1797539,,Startups,,,,,Benefit Fiduciary Group,0,,651,,,0,,ee-benefits.com
367310,1,,,,,--,,,,,1709609,,Startups,,,,,Benefits Administrators & Consultants,0,,651,,,0,,benefitsteamonline.com
408298,1,,,,,--,,,,,1750649,,Startups,,,,,"Benefits Resource Group, NH",0,,151,,,0,,beregrp.com
347983,1,,,,,--,,,,,1676165,,Startups,,,,,Benelli srl,0,,651,,,0,,benelli-motori.com
266161,1,,,,,--,,,,,1577891,,Startups,,,,,Benelux NDT & Inspection Supplies B.V.,0,,651,,,0,,benelux-ndt.com
446088,1,,,,,--,,,,,1791582,,Startups,,,,,BeNeLux Supplies,0,,651,,,0,,beneluxsupplies.com
452625,1,,,,,--,,,,,1798199,,Startups,,,,,Beneteco Finans AB,0,,651,,,0,,beneteco.se
298173,1,,,,,--,,,,,1616043,,Startups,,,,,Benga Travel Group B.V.,0,,651,,,0,,bengatravelgroup.nl
278241,1,,,,,--,,,,,1592229,,Startups,,,,,Bengal Energy Ltd,0,,233,,,0,,bengalenergy.ca
330362,1,,,,,--,,,,,1654729,,Startups,,,,,BENGUI,0,,151,,,0,,bengui.fr
339879,1,,,,,--,,,,,1666191,,Startups,,,,,Benisch Construction Management LLC,0,,651,,,0,,benischcm.com
410953,1,,,,,--,,,,,1753396,,Startups,,,,,Benjamin Franklin Plumbing,0,,651,,,0,,puntcualplumberdallas.com
