A129,A129_LIBCOURT,A129_LIBCOURT_PJ,A129_LIB,A88,A88_LIB,ADECCO_NB_CANDIDATS,ADECCO_NB_CAND_METIERS_PROCHES,ADECCO_SALAIRES_BRUTS,AG_25_29,AG_30_39,AG_40_49,AG_50_54,AG_M25,AG_P55,APPRENTI,BMO_DIFFICILE,BMO_INTENTIONS,BMO_SAISON,CODGEO_PRINCIPAL,CP_PRINCIPAL,Calculation_163536984210948109,Calculation_392657618632466432,Calculation_393783518250995712,EMBAUCHES_GLOBAL,EMBAUCHES_NM1,EMBAUCHES_NP1,EMBAUCHE_CDD,EMBAUCHE_CDI,EMPSAL_NM1,EMPSAL_NP1,FEMMES,HOMMES,INTERIM_NM1,INTERIM_NP1,LIBDOM1,LIBDOM2,LIBELLES_ROME_BONNE_FORMATION,LIBROME_MINUSCULE,Latitude,Longitude,NB_DE_PE,NB_ETS,NOM_PAGES_JAUNES,Number of Records,REG_LIB,RENSEIGNE,REPERE1 (copie),ROME,ROME_LIB,SALAIRE_BRUT,SALAIRE_VF,TK_SIRET,UIMM_FAMILLES,ZE2010,ZE2010_LIB,Calculation_490892384732147714
A02Z,Sylviculture et exploitation forestière,Sylviculture,Sylviculture et exploitation forestière,2,SYLVICULTURE ET EXPLOITATION FORESTIÈRE,,,,,,,,,,,,,,63430,63300,1,,,,,,,,,0,,,,,,,,,,,,,THIERS-63,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8312,THIERS,SYLVICULTURE ET EXPLOITATION FORESTIÈRE
A02Z,Sylviculture et exploitation forestière,Sylviculture,Sylviculture et exploitation forestière,2,SYLVICULTURE ET EXPLOITATION FORESTIÈRE,,,,,,,,,,,,,,63003,63600,1,,,,,,,,,0,,,,,,,,,,,,,AMBERT-63,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8309,AMBERT,SYLVICULTURE ET EXPLOITATION FORESTIÈRE
A02Z,Sylviculture et exploitation forestière,Sylviculture,Sylviculture et exploitation forestière,2,SYLVICULTURE ET EXPLOITATION FORESTIÈRE,,,,,,,,,,,,,,74281,74200,1,,,,,,,,,0,,,,,,,,,,,,,THONON-LES-BAINS-74,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8222,CHABLAIS,SYLVICULTURE ET EXPLOITATION FORESTIÈRE
A02Z,Sylviculture et exploitation forestière,Sylviculture,Sylviculture et exploitation forestière,2,SYLVICULTURE ET EXPLOITATION FORESTIÈRE,,,,,,,,,,,,,,74081,74300,1,,,,,,,,,0,,,,,,,,,,,,,CLUSES-74,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8220,VALLÉE DE L'ARVE,SYLVICULTURE ET EXPLOITATION FORESTIÈRE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,1053,1000,1,,,,,,,,,0,,,,,,,,,,,,,BOURG-EN-BRESSE-01,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8202,BOURG-EN-BRESSE,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,1283,1100,1,,,,,,,,,0,,,,,,,,,,,,,OYONNAX-01,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8203,OYONNAX,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,15014,15000,1,,,,,,,,,0,,,,,,,,,,,,,AURILLAC-15,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8304,AURILLAC,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,15187,15100,1,,,,,,,,,0,,,,,,,,,,,,,SAINT-FLOUR-15,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8306,SAINT-FLOUR,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,15120,15200,1,,,,,,,,,0,,,,,,,,,,,,,MAURIAC-15,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8305,MAURIAC,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,26281,26100,1,,,,,,,,,0,,,,,,,,,,,,,ROMANS-SUR-ISERE-26,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8207,ROMANS-SUR-ISÈRE,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,26198,26200,1,,,,,,,,,0,,,,,,,,,,,,,MONTELIMAR-26,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8206,MONTÉLIMAR,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,3190,3000,1,,,,,,,,,0,,,,,,,,,,,,,MOULINS-03,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8302,MOULINS,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,3185,3100,1,,,,,,,,,0,,,,,,,,,,,,,MONTLUCON-03,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8301,MONTLUÇON,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,3310,3200,1,,,,,,,,,0,,,,,,,,,,,,,VICHY-03,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8303,VICHY,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,38449,38070,1,,,,,,,,,0,,,,,,,,,,,,,SAINT-QUENTIN-FALLAVIER-38,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8209,BOURGOIN-JALLIEU,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,42187,42300,1,,,,,,,,,0,,,,,,,,,,,,,ROANNE-42,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8212,ROANNE,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,63113,63100,1,,,,,,,,,0,,,,,,,,,,,,,CLERMONT-FERRAND-63,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8310,CLERMONT-FERRAND,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,63178,63500,1,,,,,,,,,0,,,,,,,,,,,,,ISSOIRE-63,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8311,ISSOIRE,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,63003,63600,1,,,,,,,,,0,,,,,,,,,,,,,AMBERT-63,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8309,AMBERT,PÊCHE ET AQUACULTURE
A03Z,Pêche et aquaculture,Peche,Pêche et aquaculture,3,PÊCHE ET AQUACULTURE,,,,,,,,,,,,,,7010,7100,1,,,,,,,,,0,,,,,,,,,,,,,ANNONAY-07,1,AUVERGNE-RHÔNE-ALPES,N,1,,,,,,,8204,ANNONAY,PÊCHE ET AQUACULTURE
